model,test_rmse,test_mae,test_score,parameter_count
gru,18.786479949951172,13.839889526367188,6917.66552734375,44353
lstm,23.784902572631836,19.513368606567383,6063.076171875,58433
rnn,23.869403839111328,18.19248390197754,7356.6318359375,16193
lnn,26.539457321166992,20.016408920288086,11073.794921875,13633
