model,fd001_test_rmse,fd001_test_mae,fd001_test_score,fd001_parameter_count,fdall_test_rmse,fdall_test_mae,fdall_test_score,fdall_parameter_count,rmse_change,rmse_change_pct,score_change,score_change_pct
gru,13.75509262084961,10.041910171508787,356.3389587402344,43009,18.786479949951172,13.839889526367188,6917.66552734375,44353,5.0313873291015625,36.57836023201412,6561.326568603516,1841.3160861781105
lnn,15.981739044189451,11.70466423034668,503.1640319824219,12737,26.539457321166992,20.01640892028809,11073.794921875,13633,10.55771827697754,66.06113544831065,10570.630889892578,2100.8319788370454
lstm,17.59214973449707,14.77518081665039,602.3779296875,56641,23.784902572631836,19.513368606567383,6063.076171875,58433,6.192752838134766,35.20179700375775,5460.6982421875,906.523624632195
rnn,33.36018371582031,28.11284828186035,6521.71484375,15745,23.869403839111328,18.19248390197754,7356.6318359375,16193,-9.490779876708984,-28.449423293218246,834.9169921875,12.802108221392595
