model,test_rmse,test_mae,test_score,parameter_count
gru,13.75509262084961,10.041910171508789,356.3389587402344,43009
lnn,15.981739044189453,11.70466423034668,503.1640319824219,12737
lstm,17.59214973449707,14.77518081665039,602.3779296875,56641
rnn,33.36018371582031,28.11284828186035,6521.71484375,15745
